'studentennummer','naam','achternaam','cohort','afstudeer_jaar','email','geslacht','orientatie','studie_status'
201500104,Aurlie,Bareham,2015,2018,abareham0@techcrunch.com,vrouw,Energietechniek,Voldaan
201900110,Flor,Deason,2019,,fdeason1@google.com.br,vrouw,,Inactief
201500113,Fonzie,Hugk,2015,2018,fhugk2@nih.gov,man,Energietechniek,Voldaan
201500113,Netty,Abbots,2015,2021,nabbots3@pinterest.com,vrouw,informatica,Voldaan
201800118,Jemmie,Howgate,2018,,jhowgate4@geocities.jp,vrouw,,Actief
201600118,Bettine,Arnaudi,2016,,barnaudi5@360.cn,vrouw,telecommunicatie,Actief
201200124,Minnnie,Grut,2012,2015,mgrut6@yolasite.com,vrouw,telecommunicatie,Voldaan
201500125,Calhoun,Rozier,2015,2020,crozier7@mysql.com,man,telecommunicatie,Voldaan
201600125,Jenda,Elsie,2016,,jelsie8@uiuc.edu,vrouw,Energietechniek,Actief
201700131,Dall,Angelini,2017,,dangelini9@123-reg.co.uk,man,,Inactief
202000131,Eleen,Kilmister,2020,,ekilmistera@ucla.edu,vrouw,,Actief
202000132,Frankie,Breward,2020,,fbrewardb@goodreads.com,vrouw,,Inactief
201500135,Corbet,Tolland,2015,2019,ctollandc@aboutads.info,man,telecommunicatie,Voldaan
201700136,Deanna,Maeer,2017,,dmaeerd@apache.org,vrouw,telecommunicatie,Actief
201300137,Valentine,Maggiori,2013,2016,vmaggiorie@howstuffworks.com,man,informatica,Voldaan
201600137,Gene,Arnason,2016,,garnasonf@netvibes.com,man,telecommunicatie,Actief
201200140,Gerri,Handasyde,2012,2018,ghandasydeg@hatena.ne.jp,man,telecommunicatie,Voldaan
201700140,Erwin,Devas,2017,,edevash@vistaprint.com,man,,Inactief
201600143,Der,Rimington,2016,,drimingtoni@sciencedirect.com,man,telecommunicatie,Inactief
201600146,Valenka,McCambridge,2016,,vmccambridgej@blogspot.com,vrouw,informatica,Inactief
201700146,Salvatore,Dobby,2017,,sdobbyk@ustream.tv,man,,Actief
201800147,Alex,Bensusan,2018,,abensusanl@squarespace.com,man,,Inactief
201800151,Tobiah,Beetles,2018,,tbeetlesm@auda.org.au,man,,Actief
202000153,Stanislas,Rosenauer,2020,,srosenauern@reference.com,man,,Actief
201300160,Gusta,Cristobal,2013,2016,gcristobalo@noaa.gov,vrouw,telecommunicatie,Voldaan
201800164,Heindrick,Du Plantier,2018,,hduplantierp@topsy.com,man,,Inactief
201900167,Roanne,Trayling,2019,,rtraylingq@tripadvisor.com,vrouw,,Inactief
201800179,Chloris,Skerm,2018,,cskermr@fc2.com,vrouw,,Inactief
201900180,Christiana,Clausius,2019,,cclausiuss@psu.edu,vrouw,,Inactief
202000183,Nancey,Saltman,2020,,nsaltmant@edublogs.org,vrouw,,Actief
201900184,Jed,Fouracre,2019,,jfouracreu@yahoo.com,man,,Inactief
201800188,Harmonie,Osburn,2018,,hosburnv@alexa.com,vrouw,,Actief
201200189,Anne,Vankeev,2012,2016,avankeevw@sciencedirect.com,vrouw,Energietechniek,Voldaan
201200187,Sebastiano,McGooch,2012,2015,smcgoochx@godaddy.com,man,Energietechniek,Voldaan
201500191,Clerc,Mander,2015,2019,cmandery@bizjournals.com,man,Energietechniek,Voldaan
201800193,Irwin,Winch,2018,,iwinchz@yellowbook.com,man,,Actief
201600196,Bili,Erlam,2016,,berlam10@slideshare.net,vrouw,Energietechniek,Inactief
201700196,Deedee,Tomet,2017,,dtomet11@blogs.com,vrouw,,Inactief
201900197,Lynea,Thring,2019,,lthring12@netvibes.com,vrouw,,Actief
201400198,Archibold,Antonescu,2014,2020,aantonescu13@ucsd.edu,man,informatica,Voldaan
201200200,Kirbie,Ashby,2012,2015,kashby14@mayoclinic.com,vrouw,informatica,Voldaan
201200203,Mela,Fairpool,2012,2017,mfairpool15@theatlantic.com,vrouw,informatica,Voldaan
201300204,Thebault,Skeech,2013,2018,tskeech16@scientificamerican.com,man,Energietechniek,Voldaan
201900204,Moises,Mewburn,2019,,mmewburn17@microsoft.com,man,,Actief
201300206,Jeanelle,Withull,2013,2019,jwithull18@nbcnews.com,vrouw,Energietechniek,Voldaan
202000210,Madalena,Jozsef,2020,,mjozsef19@techcrunch.com,vrouw,,Inactief
202000217,Fons,McKimmie,2020,,fmckimmie1a@jigsy.com,man,,Inactief
202000221,Selestina,Dwane,2020,,sdwane1b@mac.com,vrouw,,Actief
201500221,Debra,Gozzett,2015,2021,dgozzett1c@archive.org,vrouw,telecommunicatie,Voldaan
201900222,Berthe,Ciobotaru,2019,,bciobotaru1d@deviantart.com,vrouw,,Inactief
201400223,Madelaine,Chichgar,2014,2020,mchichgar1e@fotki.com,vrouw,telecommunicatie,Voldaan
202000224,Goddard,Sperry,2020,,gsperry1f@deliciousdays.com,man,,Actief
201900225,Shirley,Boffin,2019,,sboffin1g@nydailynews.com,vrouw,,Actief
201500225,Morissa,Creech,2015,2019,mcreech1h@un.org,vrouw,Energietechniek,Voldaan
201800228,Ricard,Moyle,2018,,rmoyle1i@woothemes.com,man,,Actief
201500233,Katie,Braden,2015,2020,kbraden1j@alexa.com,vrouw,informatica,Voldaan
201900234,Marleen,Syne,2019,,msyne1k@spotify.com,vrouw,,Inactief
201700241,Bryna,Aiskrigg,2017,,baiskrigg1l@bbc.co.uk,vrouw,,Inactief
201600242,Titus,Strapp,2016,,tstrapp1m@mapquest.com,man,telecommunicatie,Actief
201200245,Erminie,Fortune,2012,2015,efortune1n@meetup.com,vrouw,telecommunicatie,Voldaan
201200247,Carolus,Conniam,2012,2015,cconniam1o@hc360.com,man,informatica,Voldaan
201500256,Alexis,Bonnin,2015,2018,abonnin1p@dailymail.co.uk,vrouw,telecommunicatie,Voldaan
201400256,Molli,Cowherd,2014,2020,mcowherd1q@chron.com,vrouw,telecommunicatie,Voldaan
201900257,Griffin,Mueller,2019,,gmueller1r@cbslocal.com,man,,Inactief
201800259,Edlin,O'Geaney,2018,,eogeaney1s@msn.com,man,,Actief
201900261,Tremaine,Eakeley,2019,,teakeley1t@vk.com,man,,Inactief
